title,description,appointment_date,appointment_time,end_time,category,priority,status,room,recurring,recurring_interval,notes
Sprint Planning Feb,"Sprint Planung für Februar",2026-02-01,09:00:00,10:00:00,sprint-planung,mittel,geplant,A101,0,,"Q1 Sprint"
Daily Standup,"Tägliches Teammeeting",2026-02-02,09:30:00,09:45:00,team-meeting,niedrig,geplant,B201,0,,""
Code Review Auth,"Review Auth Modul",2026-02-03,10:00:00,11:00:00,code-review,hoch,geplant,C301,0,,"Login prüfen"
Testing UI,"UI Komponenten testen",2026-02-04,14:00:00,15:00:00,testing,mittel,geplant,D401,0,,""
Deployment v2.0,"Deployment Release 2.0",2026-02-05,16:00:00,18:00:00,deployment,hoch,geplant,A102,0,,""
API Docs Update,"Swagger aktualisieren",2026-02-06,08:00:00,08:30:00,dokumentation,dringend,geplant,B202,0,,""
Sprint Planning Feb 2,"Sprint 2 Planung",2026-02-07,09:00:00,10:00:00,sprint-planung,mittel,geplant,C302,0,,""
Planning Q2,"Q2 Feature Planung",2026-02-08,09:00:00,12:00:00,planning,mittel,geplant,D402,0,,"Roadmap"
Sprint Planning Feb 3,"Sprint 3",2026-02-09,09:00:00,10:00:00,sprint-planung,hoch,geplant,A103,0,,""
Code Review DB,"Review DB Layer",2026-02-10,10:00:00,11:00:00,code-review,hoch,geplant,B203,0,,"ORM prüfen"
Infrastructure Setup,"CI/CD Pipeline",2026-02-11,08:00:00,12:00:00,deployment,niedrig,geplant,C303,0,,""
Security Testing,"Penetrationstest",2026-02-12,11:00:00,12:00:00,testing,mittel,geplant,D403,0,,""
Sprint Review Feb,"Sprint Review",2026-02-13,14:00:00,15:00:00,team-meeting,hoch,geplant,A104,0,,""
Documentation Sprint,"API & Code Docs",2026-02-14,09:00:00,11:00:00,dokumentation,mittel,geplant,B204,0,,""
Code Review Payment,"Review Payment",2026-02-15,10:00:00,11:00:00,code-review,dringend,geplant,C304,0,,""
Sprint Planning Mar,"Sprint Planung März",2026-03-01,09:00:00,10:00:00,sprint-planung,mittel,geplant,A101,0,,"Q1 Sprint"
Daily Standup März,"Tägliches Teammeeting",2026-03-02,09:30:00,09:45:00,team-meeting,niedrig,geplant,B201,0,,""
